"log_Gamma","ATT_LB","SE_LB","SE.Boot_LB","ATT_UB","SE_UB","SE.Boot_UB"
0.03,-0.972909475502013,0.11613736127159,0.123450441560354,-0.856236215952591,0.11575673754617,0.117824348053148
0.04,-0.992461333032083,0.116221433938388,0.122120633643058,-0.836727775878344,0.115707406141707,0.122059986913397
0.05,-1.01205381904368,0.116290800613588,0.126739237184149,-0.817376461331232,0.115658623946078,0.118410659681822
0.06,-1.03176858263595,0.116361603296625,0.127076979485358,-0.798137021559053,0.115610732622047,0.120096589239897
0.07,-1.05155327899963,0.116450219993279,0.123339776527506,-0.778785318728113,0.115597339255302,0.119511067596166
0.08,-1.07137619978022,0.11649859288383,0.121132403829051,-0.759477912983892,0.115554998215187,0.124761006885937
0.09,-1.09130765739158,0.116551136469223,0.123668513412628,-0.739863663309299,0.115514756831418,0.118928808751575
0.1,-1.11113587189035,0.116624905026988,0.124469309722652,-0.72068004150145,0.115477016428365,0.114190930864733
0.11,-1.13079157267295,0.11670536324975,0.121960437880293,-0.701563135113801,0.115458747068545,0.119949737988269
0.12,-1.1510527277558,0.116746823949185,0.122186702975592,-0.682182478797723,0.115414164593441,0.123868221229331
0.13,-1.17133626069596,0.116828096669024,0.127595875529921,-0.662838599821399,0.115459205474071,0.117437635470096
0.14,-1.19161143958007,0.116843808457951,0.126658240555697,-0.643449496261364,0.115425868309945,0.113230931075974
0.15,-1.21117376322384,0.116933511996368,0.120780948221799,-0.624124311217145,0.115368378311822,0.116769836793271
0.16,-1.23103894740306,0.116997498430146,0.123049844404164,-0.605019230883508,0.115380288234191,0.121528183388719
0.17,-1.25108208447817,0.117006889047298,0.127743668822463,-0.585938851674191,0.115401054513183,0.117527941952156
0.18,-1.27150996632242,0.117029039336563,0.124257075078075,-0.566146317951525,0.115406195375884,0.11994975974918
0.19,-1.29223161468948,0.117093172217824,0.125421180434784,-0.546830058291946,0.115456237286432,0.11247925432214
0.2,-1.31203467129687,0.117148657219599,0.123922581137383,-0.527721417024069,0.115416754043509,0.1161561631239
0.21,-1.33226347030963,0.117220507822627,0.129979521319567,-0.508634118821117,0.115420130446518,0.115054303084822
0.22,-1.35236839120774,0.117216150853537,0.128273488909959,-0.489202367196606,0.11550824714579,0.112862557149984
0.23,-1.37286145368478,0.117217485230684,0.125633103104385,-0.469606328188992,0.115499507746776,0.120012496281686
0.24,-1.3933263347354,0.117205886272438,0.131611753404632,-0.450189697104648,0.1155373014187,0.115378835621346
0.25,-1.41462962306704,0.117298178093381,0.131441867888621,-0.431558671094964,0.115611813373768,0.118568454177811
0.26,-1.43473544574592,0.117334753253561,0.13191360379472,-0.411664543383566,0.115611228619212,0.11750194665842
0.27,-1.45539208632221,0.117383408325513,0.130008711234556,-0.393006720993424,0.11569592199382,0.116583775899125
0.28,-1.47585322968272,0.117311473569314,0.129860830629736,-0.373644353296303,0.115763095048309,0.114845013679877
0.29,-1.49692634005896,0.117335568184263,0.125605383729452,-0.353893540213522,0.115876947537199,0.114542250693786
0.3,-1.51738370609613,0.117329859229142,0.126634805244858,-0.334660627662267,0.115907368950694,0.11901643334188
0.31,-1.53853496817138,0.117465757159038,0.132228565148157,-0.315334773673413,0.116060420683337,0.117342883874954
0.32,-1.55974282565754,0.117440492362262,0.134041223935389,-0.296510831382855,0.116192075158556,0.11563604525839
0.33,-1.58031187217665,0.117427820119282,0.128099204034485,-0.276394356214744,0.116268259704145,0.116671748235202
0.34,-1.60068326777435,0.117451524255028,0.133114531871595,-0.257526644229125,0.116412541759729,0.116478242971059
0.35,-1.6215677435291,0.117416825507084,0.134799922344823,-0.237896265854515,0.116585814785799,0.113178896911176
0.36,-1.64290930903985,0.117439457383357,0.131450993645858,-0.217747365891905,0.116696958121964,0.118177887265935
0.37,-1.66455561528546,0.117502697097295,0.134751416751999,-0.198737454893566,0.116973030948118,0.115282679845221
0.38,-1.68579815254122,0.117422705068041,0.130763489063097,-0.179600497151166,0.117096857156423,0.117986811500508
0.39,-1.70621928510721,0.117435846248794,0.136020717549156,-0.160140777453665,0.117302425632437,0.119036444577723
0.4,-1.72713099212374,0.117472724297993,0.142176351376254,-0.141231759198277,0.117458407744399,0.11393451930076
0.41,-1.74955446015278,0.117408316593767,0.132749908561662,-0.120068864476213,0.117681532087722,0.118556488399875
0.42,-1.7711220879002,0.117470768936844,0.13738818914096,-0.0998873800694064,0.117899752314083,0.116783453383414
0.43,-1.79274069593059,0.11746510892286,0.134271606884741,-0.0807622026954233,0.118207750417902,0.122202048602772
0.44,-1.81344017369124,0.117501968131667,0.134017335877205,-0.0605616799122539,0.118319843724618,0.120479326527277
0.45,-1.83583620784127,0.117403994646932,0.139292073216735,-0.0417980851229248,0.118684484495,0.121552881969169
0.46,-1.85803330370487,0.117395776351462,0.138282317087868,-0.0211543755411133,0.118965494999735,0.121529130732868
0.47,-1.88003348422954,0.117418616105415,0.138800603496656,-0.00109535286159358,0.119189506816186,0.117916408881241
0.48,-1.90085450558862,0.117336479228379,0.138306573083477,0.0198490573403112,0.119560824913488,0.119648777039634
0.49,-1.92303855961034,0.117373505375542,0.140924365363768,0.0392811653421139,0.119846867712002,0.114709583118107
0.5,-1.94517386334592,0.117342835229256,0.135850275328222,0.0588688675697935,0.12036127958665,0.12034077524696
0.51,-1.96819573937454,0.117285432183516,0.138431788558849,0.0786188440869007,0.120615188621846,0.120476527375785
