"BATCH","Est_DID_NP_X_01","Est_DID_NP_X_02","Est_UDID_NP_X_01","Est_UDID_NP_X_02","SE_DID_NP_X_01","SE_DID_NP_X_02","SE_UDID_NP_X_01","SE_UDID_NP_X_02","BSE_UDID_NP_X_01","BSE_UDID_NP_X_02","DID_Time","UDID_Time_01","UDID_Time_02"
78,-0.218241735333604,-0.971748740508075,0.0753191358529326,-0.919659891714033,0.148522808040011,0.125716328862319,0.125197788846695,0.111183415686257,0.12180136197638,0.115764570812482,561.478374004364,233.920682430267,229.306485891342
79,-0.307260824633382,-0.911755719178809,0.023542648959348,-0.928128014650252,0.141917088997924,0.127940402978399,0.11850259022939,0.108519887758647,0.118905451425818,0.115773520118634,534.060378551483,242.051800966263,237.214016914368
80,-0.37913087251895,-0.91544431565917,-0.172102113150432,-0.911730059725437,0.167040989444892,0.154374071710091,0.16259717455848,0.146426072101982,0.16243427679403,0.152350646543688,630.869503974915,292.516419649124,339.720841407776
81,-0.274013632302599,-0.957283587325463,0.00766788415657968,-0.92799509758272,0.149888198667385,0.131698956007317,0.119435046449498,0.10859547065443,0.116078473780632,0.117098480819837,611.987950563431,283.103115558624,280.13097858429
82,-0.270429087143793,-0.957946174032466,-0.00884092201732765,-0.945218505684762,0.150044944281422,0.118052501587939,0.131588572364157,0.114808259248232,0.137360080184189,0.124657519140496,745.02458691597,295.378759860992,283.226917505264
83,-0.33139179009502,-0.879230590925007,0.000645158478758451,-0.911381461858718,0.165035221806239,0.13213672421181,0.141364624240764,0.119684480484761,0.14023532678775,0.126795560763207,544.163197517395,259.181663990021,253.685275554657
84,-0.363351106959463,-0.828354650104309,0.0253663009833551,-0.864782606028183,0.196259357694885,0.147729347140694,0.126810844225416,0.126000153792779,0.127730111110061,0.130614822020483,607.050550699234,279.680551052094,278.523621082306
85,-0.216742812146516,-0.983661197124743,0.046415689823053,-0.927322295291517,0.129040285886685,0.126802583941329,0.12158705522405,0.112235047228693,0.115787069713251,0.115552558489385,532.917356967926,255.166058063507,248.941111564636
86,-0.490316252366661,-0.666906662742924,-0.0188990809005319,-0.948835798460694,0.334897534480628,0.275378603508241,0.11964858496422,0.11769515860873,0.124677578706557,0.125395432480656,790.765058279037,361.468341350555,326.398328065872
87,-0.338130037905191,-0.881696779269564,0.00734808496293431,-0.877602826481737,0.155257636697585,0.136040816922682,0.128997235696519,0.112394171682073,0.128952449897237,0.121010648514245,671.453437805176,257.464854955673,244.498080968857
88,-0.29361283173927,-0.835862612444887,0.00966893378312671,-0.947940628552638,0.13765440276746,0.152624508996482,0.131834879831082,0.12075728496447,0.129596332505236,0.121912908077462,601.08071231842,304.605531454086,321.88964176178
89,-0.275052187929676,-0.874503167926111,-0.00762600428222312,-0.920631833069978,0.129083078833566,0.141401348089684,0.129565765202147,0.120920328433181,0.133041254157987,0.128166920560188,745.281074762344,293.839955568314,244.38701415062
90,-0.26180362166936,-0.988467334503138,0.029646931615085,-0.899135598668487,0.144118492074888,0.124495186316498,0.128519326267944,0.113253338311524,0.129858937758645,0.121587767548432,608.349375724792,280.784376859665,286.829758882523
91,-0.340197112873484,-0.915100224292236,0.00561090782288072,-0.91676790073708,0.152658331690697,0.128251556091351,0.124280094775521,0.115932834903173,0.125408609244613,0.12326989360382,617.47919678688,272.946092844009,272.671156406403
92,-0.316920964931709,-0.883434286885618,-0.0216242258594258,-0.856028463614911,0.133141584056846,0.131677875998366,0.136165671534861,0.117446735540789,0.131246405593002,0.116077310613697,631.435699224472,276.800977230072,265.656770467758
93,-0.409607890449039,-0.850025581656454,-0.0307178502092254,-0.917182556322577,0.188207151920147,0.155657846425454,0.129416709892051,0.113182889681589,0.132231650935613,0.119042921431243,537.515285015106,249.420122623444,250.068738698959
94,-0.228372395087592,-0.95547485522332,-0.00589779054862876,-0.909507710057605,0.127681396035261,0.117495035250955,0.126896821210305,0.110369295091909,0.125326942439401,0.11622719661827,597.618658065796,268.092849969864,267.833934307098
95,-0.303580680572362,-0.91825367705325,0.0240869049017134,-0.928774057526804,0.131883887047689,0.136517073907218,0.13173465821609,0.116373462759808,0.126542344596628,0.122421169438497,626.962238550186,295.052947044373,287.027588367462
96,-0.276710453090453,-0.953125844693848,0.0395688739583367,-0.94480238329025,0.168330296969206,0.153657158866973,0.154567055050516,0.127846585795672,0.154803868073963,0.131470100024343,559.499203443527,264.971263647079,272.953210353851
97,-0.325121434108925,-0.971132684987223,-0.0276282107283918,-0.894530703999836,0.146175390739188,0.129305041969832,0.132576703922433,0.114709714113678,0.136780009088532,0.120355074218929,541.876112699509,246.019198656082,246.261349201202
98,-0.364930000954242,-0.938807153923537,-0.0649403041799485,-0.907221308823035,0.142018701546353,0.126319883500267,0.139932276063717,0.123729988970998,0.136901015076949,0.12528431502661,581.544855356216,272.69137597084,274.759116172791
99,-0.259560714031519,-0.938833912268131,0.0545659197548016,-0.919265117054601,0.134476421815946,0.116816527812267,0.118261798968012,0.10763330371141,0.121802493511439,0.117004784082882,525.394753932953,236.912373542786,246.804144620895
100,-0.337551264618849,-0.867640075328997,-0.0198112894664465,-0.946324510566916,0.146877920950252,0.149484052527316,0.124461700306101,0.110963648318085,0.12414420604712,0.1173674651043,592.829956769943,271.186725854874,274.607192754745
